Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Cutler Hammer 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Indoor, Flush Mount",Cutler Hammer,CH4L125RP,125,Main Lug Only,4,8,Indoor,Flush,,LOAD-CENTER-Cutler-Hammer-CH4L125RP
"Cutler Hammer 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount",Cutler Hammer,CH8L125RP,125,Main Lug Only,8,16,Outdoor,Surface,,LOAD-CENTER-Cutler-Hammer-CH8L125RP
"Cutler Hammer 200A Main Lug Only Loadcenter, 16 Space, 32 Circuit, Outdoor, Surface Mount",Cutler Hammer,CHP16L200R,200,Main Lug Only,16,32,Outdoor,Surface,,LOAD-CENTER-Cutler-Hammer-CHP16L200R
"Cutler Hammer 125A Main Breaker Loadcenter, 22 Space, 44 Circuit, Indoor, Flush Mount",Cutler Hammer,CHP22B125X2,125,Main Breaker,22,44,Indoor,Flush,,LOAD-CENTER-Cutler-Hammer-CHP22B125X2
"Cutler Hammer 200A Main Breaker Loadcenter, 32 Space, 64 Circuit, Indoor, Flush Mount",Cutler Hammer,CHP32B200X6,200,Main Breaker,32,64,Indoor,Flush,,LOAD-CENTER-Cutler-Hammer-CHP32B200X6
"Cutler Hammer 200A Main Breaker Loadcenter, 42 Space, 84 Circuit, Outdoor, Surface Mount",Cutler Hammer,CHP42B200R,200,Main Breaker,42,84,Outdoor,Surface,,LOAD-CENTER-Cutler-Hammer-CHP42B200R
"Siemens 60A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Siemens,E0204ML1060F,60,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Siemens-E0204ML1060F
"Siemens 30A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Surface Mount",Siemens,E0204ML1060S,30,Main Lug Only,2,4,Indoor,Surface,,LOAD-CENTER-Siemens-E0204ML1060S
"Siemens 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Indoor, Flush Mount",Siemens,E0408ML1125F,125,Main Lug Only,4,8,Indoor,Flush,,LOAD-CENTER-Siemens-E0408ML1125F
"Siemens 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Indoor, Surface Mount",Siemens,E0408ML1125S,125,Main Lug Only,4,8,Indoor,Surface,,LOAD-CENTER-Siemens-E0408ML1125S
