Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
GE 15a/15a/15a Triplex 2 space breaker,GE,THQLQ151515,"15, 15, 15",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ151515,,,,,,,,,
GE 15a/20a/15a Triplex 2 space breaker,GE,THQLQ152015,"15, 20, 15",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ152015,,,,,,,,,
GE 15a/30a/15a Triplex 2 space breaker,GE,THQLQ153015,"15, 30, 15",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ153015,,,,,,,,,
GE 15a/40a/15a Triplex 2 space breaker,GE,THQLQ154015,"15, 40, 15",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ154015,,,,,,,,,
GE 20a/15a/20a Triplex 2 space breaker,GE,THQLQ201520,"20, 15, 20",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ201520,,,,,,,,,
GE 20a/20a/20a Triplex 2 space breaker,GE,THQLQ202020,"20, 20, 20",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ202020,,,,,,,,,
GE 20a/30a/20a Triplex 2 space breaker,GE,THQLQ203020,"20, 30, 20",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ203020,,,,,,,,,
GE 20a/40a/20a Triplex 2 space breaker,GE,THQLQ204020,"20, 40, 20",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ204020,,,,,,,,,
GE 20a/30a/15a Triplex 2 space breaker,GE,THQLQ203015,"20, 30, 15",2,"1, 2, 1",Triplex,BREAKER-GE-THQLQ203015,,,,,,,,,
GE 125a/2p 2 space breaker,GE,THQL21125,125,2,2,,BREAKER-GE-THQL21125,,,,,,,,,
GE 100a/2p 2 space breaker,GE,THQL21100,100,2,2,,BREAKER-GE-THQL21100,,,,,,,,,
GE 90a/2p 2 space breaker,GE,THQL2190,90,2,2,,BREAKER-GE-THQL2190,,,,,,,,,
GE 80a/2p 2 space breaker,GE,THQL2180,80,2,2,,BREAKER-GE-THQL2180,,,,,,,,,
GE 70a/2p 2 space breaker,GE,THQL2170,70,2,2,,BREAKER-GE-THQL2170,,,,,,,,,
GE 60a/2p 2 space breaker,GE,THQL2160,60,2,2,,BREAKER-GE-THQL2160,,,,,,,,,
GE 50a/2p 2 space breaker,GE,THQL2150,50,2,2,,BREAKER-GE-THQL2150,,,,,,,,,
GE 45a/2p 2 space breaker,GE,THQL2145,45,2,2,,BREAKER-GE-THQL2145,,,,,,,,,
GE 40a/2p 2 space breaker,GE,THQL2140,40,2,2,,BREAKER-GE-THQL2140,,,,,,,,,
GE 35a/2p 2 space breaker,GE,THQL2135,35,2,2,,BREAKER-GE-THQL2135,,,,,,,,,
GE 30a/2p 2 space breaker,GE,THQL2130,30,2,2,,BREAKER-GE-THQL2130,,,,,,,,,
GE 25a/2p 2 space breaker,GE,THQL2125,25,2,2,,BREAKER-GE-THQL2125,,,,,,,,,
GE 20a/2p 2 space breaker,GE,THQL2120,20,2,2,,BREAKER-GE-THQL2120,,,,,,,,,
GE 15a/2p 2 space breaker,GE,THQL2115,15,2,2,,BREAKER-GE-THQL2115,,,,,,,,,
