Description,Manufacturer,Part Number,Rating,Meter Socket Series,Meter Socket Type,Meter Socket Style,Meter Socket Feed,Meter Socket Positions,Meter Socket Bypass,Meter Socket Jaws,Mount,Meter Socket Features,BRSID
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 4 Jaws, Surface Mount",Square D,RC2040M200CH,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,Horn,4,Surface,,METER-SOCKET-Square-D-RC2040M200CH
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Square D,RC3040M200SL,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Square-D-RC3040M200SL
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount, DISCONTINUED",Square D,RC3040M200SLS,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,DISCONTINUED,METER-SOCKET-Square-D-RC3040M200SLS
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Square D,RC816F200C,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,Feed-Through Lugs,METER-SOCKET-Square-D-RC816F200C
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Square D,RC816F200CH,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,Horn,4,Surface,Feed-Through Lugs,METER-SOCKET-Square-D-RC816F200CH
"Square D HOM Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Square D,RC816F200SL,200,HOM,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Square-D-RC816F200SL
"Square D HOM Meter/Main Combo, 100A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Square D,SC1624M100S,100,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Square-D-SC1624M100S
"Square D HOM Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Square D,SC2040M200C,200,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Square-D-SC2040M200C
"Square D HOM Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, EUSERC Approved",Square D,SC2040M200PS,225,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,EUSERC Approved,METER-SOCKET-Square-D-SC2040M200PS
"Square D HOM Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, EUSERC Approved",Square D,SC3042M200PS,225,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,EUSERC Approved,METER-SOCKET-Square-D-SC3042M200PS
"Square D HOM Meter/Main Combo, 150A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, 50A Subfeed",Square D,SC816D150C,150,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,50A Subfeed,METER-SOCKET-Square-D-SC816D150C
"Square D HOM Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, 50A Subfeed",Square D,SC816D200C,200,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,50A Subfeed,METER-SOCKET-Square-D-SC816D200C
"Square D HOM Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Flush Mount, EUSERC Approved",Square D,SC816F200PF,225,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Flush,EUSERC Approved,METER-SOCKET-Square-D-SC816F200PF
"Square D HOM Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, EUSERC Approved",Square D,SC816F200PS,225,HOM,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,EUSERC Approved,METER-SOCKET-Square-D-SC816F200PS
"Square D Meter Socket, 125A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 4 Jaws, Surface Mount",Square D,UHTRS101B,125,,Meter Socket,Ringless,OH/UG,1,Horn,4,Surface,,METER-SOCKET-Square-D-UHTRS101B
"Square D Meter Socket, 200A, Ringless Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Offset Socket",Square D,UHTRS223A,200,,Meter Socket,Ringless,UG,1,,4,Surface,Offset Socket,METER-SOCKET-Square-D-UHTRS223A
"Square D Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 5 Jaws, Surface Mount, Open Hub",Square D,UTH5213T,200,,Meter Socket,Ringless,OH/UG,1,Lever,5,Surface,Open Hub,METER-SOCKET-Square-D-UTH5213T
"Square D Meter Socket, 200A, Ringless Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Open Hub",Square D,UTRS202B,200,,Meter Socket,Ringless,OH,1,,4,Surface,Open Hub,METER-SOCKET-Square-D-UTRS202B
"Square D Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, No Jaw Release",Square D,UTRS212C,200,,Meter Socket,Ringless,OH/UG,1,,4,Surface,No Jaw Release,METER-SOCKET-Square-D-UTRS212C
"Square D Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, No Jaw Release",Square D,UTRS213B,200,,Meter Socket,Ringless,OH/UG,1,,4,Surface,No Jaw Release,METER-SOCKET-Square-D-UTRS213B
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, EUSERC Approved",Siemens,MC2040B1200ESC,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,EUSERC Approved,METER-SOCKET-Siemens-MC2040B1200ESC
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, EUSERC Approved",Siemens,MC2040B1200S,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,EUSERC Approved,METER-SOCKET-Siemens-MC2040B1200S
"Siemens Meter/Main Combo, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Main Lug Only",Siemens,MM0406L1125ESC,125,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,Main Lug Only,METER-SOCKET-Siemens-MM0406L1125ESC
